,trip_seg,fstop,tstop,fstop_name,tstop_name,fstop_lat,fstop_lon,tstop_lat,tstop_lon
88,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
89,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
90,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
91,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
92,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
93,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
94,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
95,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
96,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
97,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
98,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
99,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
100,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
101,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
102,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
103,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
104,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
105,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
106,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
107,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
108,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
109,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
110,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
111,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
112,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
113,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
114,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
115,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
116,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
117,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
118,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
119,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
120,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
121,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
122,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
123,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
124,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
125,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
126,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
127,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
128,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
129,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
130,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
131,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
132,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
133,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
134,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
135,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
136,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
137,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
138,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
139,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
140,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
141,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
142,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
143,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
144,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
145,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
146,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
147,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
148,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
149,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
150,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
151,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
152,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
153,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
154,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
155,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
156,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
157,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
158,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
159,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
160,2,103S,104S,238 St,231 St,40.884667,-73.90087,40.878856,-73.904834
